Tenure_Months,Monthly_Charges,Contract_Type,Tech_Support,Churn
56,57.77,2,1,0
17,73.43,2,1,0
38,69.66,2,1,0
24,58.96,2,1,0
69,49.76,1,1,0
70,30.0,0,0,0
11,25.35,2,1,0
16,115.85,2,0,0
59,104.71,2,0,0
70,55.49,0,0,0
3,115.68,1,1,0
20,87.68,0,1,0
59,68.25,1,1,0
36,69.3,2,0,0
19,28.33,2,0,0
67,29.17,0,0,0
19,80.24,0,0,0
20,75.37,1,0,0
71,41.27,1,0,0
52,114.62,0,1,0
33,98.13,1,1,0
40,31.35,0,1,0
39,113.09,1,1,0
1,117.42,0,0,1
11,119.59,0,0,1
57,25.59,0,1,0
50,93.7,1,0,0
23,74.59,1,1,0
31,90.58,1,1,0
42,116.87,0,1,0
7,88.8,1,0,1
16,103.7,1,1,0
60,106.69,0,1,0
2,103.85,2,1,0
1,62.61,0,0,1
48,42.26,1,0,0
12,59.67,0,1,0
69,109.19,2,0,0
37,34.66,0,0,0
32,71.33,1,0,0
9,43.32,2,0,1
19,78.13,1,0,0
48,106.31,2,0,0
3,108.04,2,0,1
20,43.67,0,0,0
24,110.77,0,0,0
54,79.19,1,0,0
33,55.02,0,1,0
24,90.82,0,1,0
36,68.17,2,0,0
38,57.8,0,1,0
25,90.51,2,1,0
18,44.87,2,0,0
66,53.03,2,0,0
54,63.45,1,0,0
35,45.37,1,1,0
61,60.52,1,1,0
41,77.15,2,0,0
33,94.1,1,0,0
68,96.72,1,0,0
33,102.28,0,1,0
14,94.42,1,1,0
21,88.1,1,1,0
48,43.75,2,1,0
20,60.02,2,0,0
8,67.77,2,0,1
7,28.29,2,0,1
67,72.84,2,0,0
17,63.63,2,1,0
33,100.21,1,1,0
48,117.79,2,0,0
59,75.6,2,0,0
22,52.27,0,1,0
30,24.34,1,0,0
38,112.46,1,1,0
51,111.91,1,0,0
54,45.3,2,0,0
8,89.54,2,0,1
27,27.54,2,0,0
